flyid,name,sugarR_200Hz_x30
720575940619114048,,32.63333333333333
720575940624023188,,32.56666666666667
720575940636165624,,32.36666666666667
720575940626626597,,32.233333333333334
720575940608498780,,32.2
720575940615296818,,32.2
720575940627410451,,31.9
720575940611436408,,31.766666666666666
720575940636895406,kelp_3,31.366666666666667
720575940623453959,,31.333333333333332
720575940625178768,,31.1
720575940634301852,,30.9
720575940623192781,,30.833333333333332
720575940614660519,justice_1,30.6
720575940629207963,,30.533333333333335
720575940632304711,,30.133333333333333
720575940616644411,,29.6
720575940608735241,,29.433333333333334
720575940628676457,hound_2,29.233333333333334
720575940612648106,fudog_2,28.866666666666667
720575940611549902,,28.3
720575940609133269,,28.3
720575940614128691,,28.166666666666668
720575940627779983,,27.8
720575940629561347,,27.733333333333334
720575940627083294,,27.566666666666666
720575940620374693,,27.566666666666666
720575940613670893,,27.433333333333334
720575940630674038,,27.1
720575940621573030,,27.1
720575940610000964,,27.066666666666666
720575940613943215,,27.0
720575940613004402,,26.4
720575940620473547,,26.233333333333334
720575940622348156,,25.766666666666666
720575940636809646,,25.6
720575940628998659,,25.5
720575940605658033,,25.3
720575940627086594,,25.0
720575940609993284,,24.866666666666667
720575940626993694,,24.733333333333334
720575940620254087,,24.233333333333334
720575940609939780,,23.5
720575940629000783,,23.333333333333332
720575940633293025,,23.2
720575940618726171,,23.166666666666668
720575940639198397,,22.833333333333332
720575940618859480,,22.533333333333335
720575940633316563,,22.466666666666665
720575940621422518,,22.033333333333335
720575940630034231,,21.5
720575940631283267,,21.2
720575940612952557,,20.833333333333332
720575940628630171,,20.733333333333334
720575940619173534,,20.533333333333335
720575940631340815,,20.433333333333334
720575940630488540,,19.966666666666665
720575940640839120,,19.766666666666666
720575940627107271,,19.7
720575940639972816,,19.7
720575940615052812,,19.6
720575940609935172,,19.433333333333334
720575940627812168,,19.266666666666666
720575940647029044,,19.166666666666668
720575940606607234,,19.066666666666666
720575940623478115,,19.0
720575940611164770,,18.633333333333333
720575940621057702,,18.5
720575940626289021,,18.466666666666665
720575940605682790,,18.2
720575940631714119,,18.2
720575940629239934,,17.433333333333334
720575940626256765,,17.4
720575940632159519,,17.333333333333332
720575940617494877,,17.266666666666666
720575940647030324,Fdg_1,17.1
720575940631168057,bluebell_2,16.966666666666665
720575940628997123,,16.9
720575940631994728,,16.633333333333333
720575940635451546,,16.6
720575940612289010,kelp_4,16.533333333333335
720575940612479205,,16.5
720575940610232274,gnome_2,16.333333333333332
720575940627828296,,16.133333333333333
720575940642335373,,15.533333333333333
720575940626999464,,15.166666666666666
720575940607689394,,15.133333333333333
720575940630094652,hound_1,14.966666666666667
720575940626278974,seagull,14.866666666666667
720575940621577036,,14.766666666666667
720575940631662648,,14.733333333333333
720575940655011489,,14.666666666666666
720575940617488477,,14.433333333333334
720575940610611246,,14.266666666666667
720575940633373651,,14.033333333333333
720575940629664768,,13.9
720575940612208858,,13.866666666666667
720575940620805046,,13.766666666666667
720575940630980559,,13.666666666666666
720575940635211115,,13.4
720575940611151406,,13.366666666666667
720575940624310857,,13.266666666666667
720575940620474278,,13.0
720575940610001220,bract_4,12.8
720575940611366058,,12.633333333333333
720575940630931999,,12.6
720575940629812346,,12.233333333333333
720575940614730914,,12.033333333333333
720575940612357618,,12.0
720575940632134227,fluff_2,11.633333333333333
720575940637656286,,11.5
720575940615811670,,11.266666666666667
720575940634825623,,11.0
720575940648864633,gnome_1,10.9
720575940630044278,,10.2
720575940637144944,,9.933333333333334
720575940645045527,bract_2,9.766666666666667
720575940641480949,,9.733333333333333
720575940624600840,,9.6
720575940637790527,,9.2
720575940621771041,,9.2
720575940645047831,,9.166666666666666
720575940620292116,,9.166666666666666
720575940627446661,,9.066666666666666
720575940617373268,,8.566666666666666
720575940621345012,,8.5
720575940611988197,,8.433333333333334
720575940629623351,,8.4
720575940627704392,kitty_4,8.333333333333334
720575940615623867,,7.933333333333334
720575940620062288,,7.866666666666666
720575940633308371,,7.433333333333334
720575940620873793,,7.133333333333334
720575940623072013,,7.1
720575940608349379,,7.1
720575940638088262,,6.933333333333334
720575940620282900,,6.9
720575940615582111,,6.9
720575940618995393,,6.833333333333333
720575940612766515,,6.833333333333333
720575940621468404,spirit_1,6.7
720575940609016843,,6.666666666666667
720575940637360730,fluff_1,6.6
720575940615564959,,6.5
720575940633116256,,6.433333333333334
720575940634428058,,6.333333333333333
720575940627814728,,6.166666666666667
720575940622624214,sink_sync_1,6.066666666666666
720575940635611316,,6.0
720575940618864725,Salivary_MN13_2,5.933333333333334
720575940615153494,,5.733333333333333
720575940605513649,,5.7
720575940660220289,,5.666666666666667
720575940632659404,,5.233333333333333
720575940636346487,,5.0
720575940612865814,,4.866666666666666
720575940612537061,,4.7
720575940629421415,,4.633333333333334
720575940629508599,,4.533333333333333
720575940626968216,,4.466666666666667
720575940616860758,,4.266666666666667
720575940620714150,mothership_1,4.266666666666667
720575940621329328,,3.8333333333333335
720575940619455879,Salivary_MN13_1,3.8
720575940624084372,,3.7
720575940634756203,,3.433333333333333
720575940630781433,,3.2666666666666666
720575940631108303,,3.1333333333333333
720575940613743569,,2.8666666666666667
720575940630403031,,2.8333333333333335
720575940610621026,,2.8
720575940622734106,,2.6666666666666665
720575940626468178,,2.6333333333333333
720575940622027222,,2.6
720575940639170723,,2.466666666666667
720575940622474899,kelp_2,2.3
720575940625164558,,2.2666666666666666
720575940623224555,,2.2333333333333334
720575940626038714,,2.2
720575940634210155,,2.1666666666666665
720575940625641402,,2.066666666666667
720575940615715003,,2.066666666666667
720575940660224641,,2.066666666666667
720575940606852018,,2.066666666666667
720575940635839077,,2.0
720575940628995331,,1.8666666666666667
720575940644758308,mothership_2,1.8333333333333333
720575940631989352,,1.7
720575940624366845,,1.6666666666666667
720575940636828334,,1.6333333333333333
720575940644666148,,1.5666666666666667
720575940645352814,,1.5666666666666667
720575940621902085,,1.5333333333333334
720575940630689644,,1.5
720575940630291767,,1.5
720575940617672920,,1.3666666666666667
720575940635771316,,1.3666666666666667
720575940630903291,,1.3666666666666667
720575940606391218,,1.3666666666666667
720575940626159306,,1.3666666666666667
720575940647081860,,1.3666666666666667
720575940636654703,,1.3666666666666667
720575940627949626,,1.3666666666666667
720575940632307025,,1.3666666666666667
720575940632722515,,1.3666666666666667
720575940618153105,,1.3666666666666667
720575940643543496,,1.2666666666666666
720575940620271636,,1.2666666666666666
720575940632962786,,1.1333333333333333
720575940619176094,,1.1
720575940622552675,,1.1
720575940631629160,,1.0666666666666667
720575940629804158,,1.0333333333333334
720575940622147873,,1.0
720575940625612474,,0.9333333333333333
